(Number of Powers   32768 )
(Number of Trafos   752.000 )
(Flux    517.90893600 )
(Average Poisson level      0.00400195 )
(Renormalization const  0.20076209E-02 )
(Background rate   10.000000     )
(Count rate per PCU   220.91411     )
(Count rate * VLE rate per PCU   18698.281     )
      16.000000 0.10760982E-03 0.14985654E-03
      16.062500 -0.14985871E-03 0.14046761E-03
      16.125000 0.29847506E-03 0.15681669E-03
      16.187500 0.39544728E-04 0.14737445E-03
      16.250000 -0.16197344E-03 0.14002585E-03
      16.312500 0.52451636E-04 0.14784513E-03
      16.375000 0.37100169E-03 0.15946144E-03
      16.437500 0.17972624E-03 0.15248635E-03
      16.500000 -0.15734485E-03 0.14019464E-03
      16.562500 -0.59413898E-04 0.14376581E-03
      16.625000 0.15907758E-03 0.15173337E-03
      16.687500 -0.14905768E-04 0.14538885E-03
      16.750000 -0.22189926E-04 0.14512324E-03
      16.812500 0.21432911E-03 0.15374819E-03
      16.875000 0.20932381E-03 0.15356566E-03
      16.937500 -0.50078710E-04 0.14410622E-03
      17.000000 0.28876484E-04 0.14698542E-03
      17.062500 0.46035279E-04 0.14761114E-03
      17.125000 0.20088993E-03 0.15325812E-03
      17.187500 0.80949263E-04 0.14888431E-03
      17.250000 -0.75737444E-04 0.14317055E-03
      17.312500 0.23831494E-03 0.15462287E-03
      17.375000 0.85222688E-04 0.14904016E-03
      17.437500 0.20759445E-03 0.15350259E-03
      17.500000 -0.98560864E-04 0.14233828E-03
      17.562500 -0.13340473E-03 0.14106763E-03
      17.625000 0.59650592E-04 0.14810765E-03
      17.687500 0.22662598E-04 0.14675884E-03
      17.750000 0.59604645E-04 0.14810596E-03
      17.812500 0.23282909E-03 0.15442283E-03
      17.875000 0.20113740E-03 0.15326713E-03
      17.937500 0.66408206E-03 0.17014900E-03
      18.000000 0.21974795E-03 0.15394580E-03
      18.062500 0.12278173E-03 0.15040980E-03
      18.125000 0.47229998E-04 0.14765472E-03
      18.187500 0.16369947E-03 0.15190191E-03
      18.250000 -0.94687595E-04 0.14247952E-03
      18.312500 0.31464569E-04 0.14707980E-03
      18.375000 -0.10146486E-03 0.14223237E-03
      18.437500 0.12358635E-03 0.15043915E-03
      18.500000 0.18780353E-03 0.15278089E-03
      18.562500 -0.84118197E-04 0.14286494E-03
      18.625000 0.96429896E-04 0.14944885E-03
      18.687500 -0.23617273E-04 0.14507117E-03
      18.750000 -0.33874829E-04 0.14469713E-03
      18.812500 0.11101353E-03 0.14998065E-03
      18.875000 -0.70761591E-04 0.14335201E-03
      18.937500 -0.20661608E-03 0.13839790E-03
      19.000000 -0.15519450E-03 0.14027304E-03
      19.062500 -0.52685937E-04 0.14401115E-03
      19.125000 -0.77263154E-04 0.14311491E-03
      19.187500 0.10552433E-03 0.14978049E-03
      19.250000 0.23302078E-04 0.14678216E-03
      19.312500 -0.69196874E-04 0.14340907E-03
      19.375000 -0.88279616E-04 0.14271319E-03
      19.437500 0.32060252E-05 0.14604932E-03
      19.500000 0.28013065E-03 0.15614773E-03
      19.562500 0.77001328E-04 0.14874036E-03
      19.625000 0.16797146E-03 0.15205771E-03
      19.687500 0.16692224E-03 0.15201943E-03
      19.750000 -0.22819835E-03 0.13761087E-03
      19.812500 0.19765088E-03 0.15314000E-03
      19.875000 0.30925436E-03 0.15720975E-03
      19.937500 0.29160254E-03 0.15656605E-03
      20.000000 0.35578600E-04 0.14722983E-03
      20.062500 0.16945385E-03 0.15211177E-03
